ProductoID,ProductoNombre,Presentación,Unidad
TUB-001,Papa Amarilla,Entera / Tierra,Kg
TUB-002,Papa Amarilla Coctel,Entera / Tierra,Kg
TUB-003,Papa Amarilla Tumbay,Entera / Tierra,Kg
TUB-004,Papa Canchan,Entera / Tierra,Kg
TUB-005,Papa Huamantanga,Entera / Tierra,Kg
TUB-006,Papa Huayro,Entera / Tierra,Kg
TUB-007,Papa Nativa (Morada/Rosada),Entera / Tierra,Kg
TUB-008,Papa Yungay,Entera / Tierra,Kg
TUB-009,Camote Amarillo,Entero,Kg
TUB-010,Camote Morado,Entero,Kg
TUB-011,Yuca,Entera / Tierra,Kg
TUB-012,Yuca Pelada,Procesada / Pelada,Kg
TUB-013,Olluco Entero,Entero,Kg
TUB-014,Olluco Picado,Procesado / Picado,Kg
VER-001,Zanahoria,Entera,Kg
VER-002,Cebolla Roja,Entera,Kg
VER-003,Cebolla Blanca,Entera,Kg
VER-004,Tomate,Entero,Kg
VER-005,Limón,Entero,Kg
VER-006,Limón Tahití,Entero,Kg
VER-007,Ajos Entero,Bulbo entero,Kg
VER-008,Ajos Pelados,Dientes pelados,Kg
VER-009,Ají Amarillo,Entero,Kg
VER-010,Ají Limo Rojo,Entero,Kg
VER-011,Ají Panca,Entero / Seco,Kg
VER-012,Rocoto,Entero,Kg
VER-013,Zapallo Macre,Trozado,Kg
VER-014,Arverja Pelada,Desgranada,Kg
VER-015,Haba Verde Pelada,Desgranada,Kg
